boroughcode,taxblock,taxlot,bblnew,zd1new,zd2new,zd3new,zd4new,co1new,co2new,sd1new,sd2new,sd3new,lhdnew,mihflag,mihoption,zmnnew,zmcnew,area,inzonechange,bblprev,zd1prev,zd2prev,zd3prev,zd4prev,co1prev,co2prev,sd1prev,sd2prev,sd3prev,lhdprev,zmnprev,zmcprev,geom
4,12542,3,4125420003,R5D,,,,C2-3,,,,,,,,19A,,2230.47838846967,,4125420003,R5D,R3X,,,C2-3,,,,,,19A,,0106000020E6100000010000000103000000010000000E00000035664C76C37052C012ACB54CED5644403A2DDC47C77052C059F2F17EEB564440D8EDBD1AC97052C00593635BF4564440AE89B9F2C77052C0E717D3E8F45644402BEEF6C1C97052C0EAC18DB3FD564440C33FBDC6C27052C05B2C770901574440C3D544DAC07052C0C2D77E70FF564440B8BA6213C27052C0324B65FCF45644401225224BC27052C05085DC40F3564440B162D871C27052C0EE61DA3EF256444065E7F6A5C27052C0B2E26E0CF15644403E1EAFE4C27052C0D8D288C7EF564440BEA0CA25C37052C08920C29AEE56444035664C76C37052C012ACB54CED564440
2,0,8900,2000008900,PARK,R1-2,,,,,NA-2,J,,,,,1C,Y,2186.71450350154,,2000008900,PARK,R1-2,R8A,R8,,,NA-2,J,C,,1C,Y,0106000020E61000000200000001030000000100000029000000FCCCF48B6C7A52C08E78622CFB6B4440751E2A46627A52C059DFF5C8F26B4440F722B2E0617A52C069C20976F26B4440621F4ED0617A52C0FE142264F26B4440BC1AF0C4617A52C04357E551F26B444071F6C2B7617A52C08CCAAA2EF26B4440229E18B0617A52C024C2F20AF26B4440472FF5A9617A52C00D63EFD7F16B4440D14D60A9617A52C02BE735AAF16B4440FCB1B6AC617A52C0CE37937CF16B444022D315B9617A52C097096B4BF16B4440BE5352C9617A52C0990CCB28F16B4440E28C40DC617A52C098A34708F16B44404CD7FAE8617A52C030F448F8F06B4440DE0BA706627A52C0425F28E0F06B444044038128627A52C03950FBCDF06B4440F7383F4A627A52C05E3D61C9F06B4440AE31E96C627A52C0C0B290D2F06B4440D48DC9CE627A52C0CA210920F16B4440D18D260B6D7A52C050B60A96F96B4440161C5F6D6D7A52C06178D5F1F96B4440F7135B836D7A52C0B148030EFA6B4440A68CAE936D7A52C03EB1B227FA6B4440FF41E89F6D7A52C0EC252F45FA6B44405E09DFA86D7A52C08A3B7F68FA6B444019019FAF6D7A52C035ADCB94FA6B4440A1B8C6B06D7A52C0E6C86BC0FA6B4440A2FBD4AD6D7A52C0C6B267E6FA6B4440D972E1A56D7A52C009D36C0AFB6B4440729CAE966D7A52C0D0E6D42FFB6B44407EA119836D7A52C02FB74650FB6B4440E7BD9A716D7A52C03E2E7265FB6B4440DDAB2E596D7A52C092053478FB6B44408D32B0456D7A52C00C3A4C84FB6B44402E447B2F6D7A52C0EBDA1C8CFB6B4440D444161F6D7A52C07FC3068FFB6B444098303A0F6D7A52C029B2DA8DFB6B444022270D026D7A52C0B3830688FB6B44407EAE1BF26C7A52C02031C07DFB6B4440704E55DE6C7A52C0272F0B6FFB6B4440FCCCF48B6C7A52C08E78622CFB6B4440010300000001000000280000002942AAE9FF7952C00E78E53426734440F889E900007A52C0FF8970792673444042A22411007A52C02E94E7BA26734440D2E3C31F007A52C05DB4142827734440A2622022007A52C0B2D6388827734440A273A11F007A52C02AF9B9D827734440120E7E14007A52C01ABFE62A287344409BE1AF05007A52C020B4D56528734440106EC8CFFF7952C0913209ED28734440B00C26CDFD7952C03A7C28E62C7344409DD720F0FB7952C03ABF423730734440D8F7A13FFA7952C0B385A1C232734440B0FB8BE4F87952C05045CE7D347344406FD9E7A6F77952C042A5CAE8357344400CA22B62F77952C058A1171E3673444083C97321F77952C07D43424536734440245C3EC0F67952C09274D66D36734440F2C53C72F67952C07DCF777536734440D1B5DB1DF67952C0E3901D5C3673444045688ED7F57952C0C05B702D36734440032859ACF57952C02BEE69FE3573444027E6497AF57952C07F5C83A835734440B48EAE65F57952C063F91E683573444099259F53F57952C03F9B842335734440C1F8F643F57952C018EF3BB63473444050102241F57952C03EF6325334734440EB4A0047F57952C0D17AFAF8337344408BC80167F57952C03E90FB743373444089FF0AB4F57952C02D0F3585327344408275F85FF67952C099D893AB3073444097AC0A6FF77952C07403893D2D734440CBC3B60BF87952C041B16AA32A73444028E46380F87952C01476B1A3287344409424AF5FF97952C0AC7888A423734440455B744FFF7952C03496AF9C25734440615F6CA0FF7952C0ED7255CB25734440DF9E3BBCFF7952C0C60D93E825734440B79A04CBFF7952C0611FC5FB25734440E96689D8FF7952C0C27FD511267344402942AAE9FF7952C00E78E53426734440
1,1010,41,1010100041,C5-1,C5-3,,,,,MiD,,,,,,8C,,564.55822725594,,1010100041,C5-1,C5-3,,,,,,,,,8C,,0106000020E61000000100000001030000000100000008000000C110286E937E52C0D3A1C423EB614440A6455EC3937E52C059DDB451EB614440793C54D4947E52C03606E9E4EB614440C0B32E03967E52C0A5CE3E88EC6144400AB6073D967E52C0EA3775A7EC61444058B76BAB927E52C0F16E8E9FF661444065C84317907E52C0E85DD477F4614440C110286E937E52C0D3A1C423EB614440
3,3669,22,3036690022,C4-4L,,,,,,EC-5,EC-6,,,t,Option 1 and Deep Affordability Option,17C,,3355.52948367223,,3036690022,C4-4L,,,,,,EC-5,,,,17C,,0106000020E6100000010000000103000000010000000F000000BA89847A6D7952C0ABE7406BA256444010AFDD546C7952C0CDC1EB6C995644402198B8C46B7952C08726CB029556444066717CAB717952C0EC645E449356444098433D3C727952C08DB34EAE975644407801EF88727952C0A45905059A564440B34902CE727952C00B623F209C5644400FB7E116737952C04F320C599E5644404BF52163737952C0D71E47ACA05644406893F348797952C0BB7E1AEE9E564440B6E9906E7A7952C055F0FFE1A75644407480BC88747952C04D072DA0A9564440901E9358717952C007675891AA5644402EC9E39E6E7952C0878B835FAB564440BA89847A6D7952C0ABE7406BA2564440
4,9006,21,4090060021,R4B,R6B,,,C2-3,,,,,,,,18A,,362.687425907701,,4090060021,R6B,R4B,,,C2-3,,,,,,18A,,0106000020E61000000100000001030000000100000006000000B266E5F0057752C056596F818A5744404BEB876E047752C0071A0B4584574440B2236098067752C05063B30D8357444039CC45A3087752C0F13D2B7E8B574440DD8F6A79067752C0213085B58C574440B266E5F0057752C056596F818A574440
4,1740,47,4017400047,R5A,R5,,,,,,,,,,,9D,,237.916415415471,,4017400047,R5A,,,,,,,,,,9D,,0106000020E610000001000000010300000001000000060000002CC2B0C9907752C079FEE7CA6B6044402ED0964B907752C0409E67B2696044407D8A57CE957752C0462506C066604440A8BB6852967752C0C99C21F268604440FD68B4CF907752C00C937BE46B6044402CC2B0C9907752C079FEE7CA6B604440
3,6679,42,3066790042,R5B,R4-1,,,,,,,,,,,28C,,251.344690084457,,3066790042,R5B,,,,,,,,,,28C,,0106000020E6100000010000000103000000010000000600000026BF78F54C7E52C0C4424316144D4440DD908A1D4D7E52C0D8D0B7DB114D4440BEBCEE0E537E52C0A92EE473124D4440D271B7F2527E52C004E11705144D4440733FACE0527E52C0A479A105154D444026BF78F54C7E52C0C4424316144D4440
4,10393,56,4103930056,R2,R5B,,,,,,,,,,,15B,,467.932311967015,,4103930056,R5B,R2,,,,,,,,,15B,,0106000020E6100000010000000103000000010000000900000077942626CD7052C0027F0ABC1F594440C9DB8275CB7052C01F4E5CE71F594440292BEB34C77052C0BF4E57542059444097473EA0C17052C06A5B5AE32059444057681A67C17052C0716E99941E59444022DB216FC57052C02C9A4A2D1E594440C4D50B0EC97052C0E99E7DD01D594440B6C5DDDACC7052C0E20A1A6F1D59444077942626CD7052C0027F0ABC1F594440
3,3237,23,3032370023,R7A,R6B,,,,,,,,,t,Option 1 and Deep Affordability Option,13B,,2385.59304681048,,3032370023,R7A,,,,,,,,,,13B,,0106000020E6100000010000000103000000010000000B00000064FAD89BE17A52C0F1EB05AA105A4440D1C9B580E27A52C0EE0D88D70E5A44403FD48E5AE77A52C0161EBD62145A444061FC5775E67A52C08088D834165A4440ED365C92E57A52C0E1836802185A444042625C8DEA7A52C032C180B31D5A44403EFB1F0FE77A52C00E6AE4CD245A4440A5131E14E27A52C06DF9CA1C1F5A444038EB4C3CDD7A52C096A0E493195A44409F6D33B9E07A52C06A49FA77125A444064FAD89BE17A52C0F1EB05AA105A4440
3,1813,41,3018130041,R6A,R6B,,,,,,,,,,,17A,,1728.13592085242,,3018130041,R6A,,,,,,,,,,17A,,0106000020E6100000010000000103000000010000000C000000DF0ACBC7A37C52C09A248A48D55744402B99049EA37C52C04870D0A1D35744405A1B0672A37C52C09861B0E4D1574440543E989EA87C52C0A35A4AB3D0574440AC7B57CAA87C52C04CD47770D2574440CBE6F5F2A87C52C00A70B00DD45744409D71C215AA7C52C06BE80BCBD3574440B4CCA445AB7C52C099A66885D35744408F1A2C67AC7C52C03C100F43D3574440500E984EAD7C52C04331BD75DC5744408CAE5AAFA47C52C030108D6FDE574440DF0ACBC7A37C52C09A248A48D5574440
2,5034,1,2050340001,R5,C8-1,,,,,,,,,,,2A,,256.758206687868,,2050340001,R5,,,,,,,,,,2A,,0106000020E610000001000000010300000001000000080000002009C4E1EC7652C033F62DB0ED724440D59A0B14F27652C07D491AC4F17244408DD93E52F17652C0932DC701F4724440735F1CF9EF7652C02481EFF2F2724440A0DE3D8DEE7652C09E5666D5F1724440B3A48B5DEC7652C0CAF22E1EF0724440EC683520EC7652C0CC140BEEEF7244402009C4E1EC7652C033F62DB0ED724440
4,8206,48,4082060048,R2,R2A,,,,,,,,,,,11A,,378.57672970742,,4082060048,R2,,,,,,,,,,11A,,0106000020E6100000010000000103000000010000000500000086C8764A406F52C068029DBFE2614440D10E4B3A456F52C0F1932122DF614440D8827747466F52C0788973C1E26144404FC78658416F52C01B1E485EE661444086C8764A406F52C068029DBFE2614440
4,15603,125,4156030125,R4A,R3X,,,,,,,,,,,31A,,484.455224132165,,4156030125,R4A,,,,,,,,,,31A,,0106000020E6100000010000000103000000010000001B00000063B8707B576F52C078B73D3E624C4440736A0F7C576F52C0BEE14C15624C444047A0028E576F52C0BA31DD7A5D4C4440BFA50E39586F52C0591C73565D4C4440CBD14DCE586F52C008302C615D4C4440C3E33385596F52C0AABEF2865D4C444082D4D7085A6F52C0533706A95D4C4440DBA0C04C5A6F52C0F6FAFFF25D4C44406F4A23975A6F52C0AF5A90725E4C4440D0FC15D25A6F52C0635DE4165F4C44406F45A4F05A6F52C0278D54975F4C4440EC42F4035B6F52C07FA6197B604C44400403A9FA5A6F52C0237F3880614C44401A98ECEB5A6F52C0B64B5A09624C444014EAD4BE5A6F52C092F1EF9F624C444068537E805A6F52C09DF5634E634C44407124E3405A6F52C08BAE76DB634C4440CCF592F7596F52C02AA4936D644C444034F713AA596F52C0C985DFF5644C4440149A395C596F52C0DA3BC480654C4440FBE2B51C596F52C02C96B7DE654C4440F86EE9B9586F52C064C16F92664C44400F94B956586F52C00DBEDE3C674C444017B2CAF5576F52C0EB452AC9674C44406A3E3989576F52C00C4DCD5F684C4440D7E6E162576F52C00B4E2E8A684C444063B8707B576F52C078B73D3E624C4440
2,2605,37,2026050037,M3-1,PARK,,,,,,,,,,,6D,,62986.4587887153,,2026050037,PARK,M3-1,,,,,,,,,6D,,0106000020E610000001000000010300000002000000080000001B9BA02E597952C06D082E4D1E664440B39E4501497952C0E71601AFEF65444099E6E463497952C01F843E53C9654440DF25360A6D7952C0675C51BACB654440836F2E16927952C0FC8503CDEC6544407945D0BE927952C0143F2BAC096644405C4F4A45777952C08E691ED4206644401B9BA02E597952C06D082E4D1E66444052000000B289DF927F7952C02FD83F79F3654440EEB85A8A7C7952C0AD7919E1F1654440B3C80A3B797952C0DAEDF1CDF0654440B2A4C23F777952C0DF5D4ADBEF654440FA32A6BA757952C0372231E9EE654440AF850F74747952C06EF77AE3ED65444015B7D608737952C059CAA6B0EC654440A32772EE717952C076B09CDBEB654440D700CCE5707952C0775BC56CEB654440D7CF54C16D7952C0FE5E3B4CEB654440FD741C4B6C7952C081A4CB5CEB65444058DE6CA16A7952C0C187B8A9EB65444013DF0AE1697952C07A249AD1EB654440CBB4DCD7687952C06D1D5103EC654440249357E4677952C0AC4E91F9EB65444097726D37677952C0141241C6EB654440957C7F93667952C0598CBA73EB654440233F6119667952C0D933030FEB654440D47D6FAA657952C02570FC8EEA654440D82C2F20657952C050C62F0BEA6544400392427F647952C01588A9A7E9654440FAAC01AE637952C00F8E2A46E9654440DAF80E1F637952C068E46229E9654440AEABF69F627952C0C5B9B63AE9654440D767F7ED617952C0FC26439FE9654440AF9A8C3A617952C04016C44EEA65444086AFECAB607952C0664FE92AEB654440928C2519607952C07A83D077EC6544408E6A69CC5F7952C023EE966FED6544407B99B76A5F7952C0CFDA7AE8EF65444096BEEEA75E7952C0A8E90190F2654440604D75D65D7952C074315C54F6654440C965BD895D7952C090A2EA6EF86544406B7092885D7952C03EBCCEF9FA654440911A15CC5D7952C0630E85EDFD65444041D297775E7952C0549BC8F000664440C3005807607952C083184B970566444085D6486B617952C0B0F0E80B09664440CC295533637952C017FEB7930C66444041F07468647952C0C5778B890E66444066DD30CC657952C0C81D0BD80F66444038AE7589667952C0AF14814B10664440A49F0665677952C0A6F102BF10664440659DA375687952C0A184171011664440DB97A6B66B7952C0BDA44FEC11664440DD0F41666D7952C0ED81C39912664440922AD5E96F7952C01F52BBD1136644401CBD3D67737952C088E853AB15664440C7EC8B24747952C03EB0BCF015664440A7E9E0E1747952C007119C13166644404AE2BA01767952C0F95E95F11566444033578847777952C0A5AB0368156644405C372BA4787952C01BB356541466444008BB8E87797952C01773858513664440880F13457A7952C06A00A3B61266444072AD3E0A7B7952C077EA2580116644405FBE9E047C7952C02A2601580F664440D3C15EC27C7952C07659CF5D0D664440B85335C47D7952C03568D1BF0B6644408586CD117F7952C0576674160A664440235445BA807952C0CF814684086644402E52B4F2817952C07310FDAE076644402747F8E3827952C0AB5250FD066644404066E04D847952C0ED2377EA05664440320B7349857952C0789DD6380566444011D3E5BD857952C0C76C5CD504664440FB5BD710867952C0CB24127B04664440924B7939867952C095461F4304664440DE267280867952C042A4D8CC03664440297310CC867952C01DB0071603664440A00D1405877952C09349F9F10166444038747627877952C037767B7A00664440F37A812F877952C0F8AD8C1DFF6544408DDED931877952C0E2B5EC04FE6544404A78B304877952C0635C32C1FC654440FE0EBAAF867952C013DB1063FB654440E709A7DE857952C0F8639667F9654440FD658A10857952C03AEA920FF86544409CD897EA837952C02EB8F8B2F66544404E692E75827952C064E73256F56544400552FA22817952C07188C539F4654440B289DF927F7952C02FD83F79F3654440
1,1510,40,1015100040,C1-9,,,,,,,,,,,,9A,,278.817722588778,,1015100040,C1-9,R8B,,,,,,,,,9A,,0106000020E6100000010000000103000000010000000500000013ECDA8A367D52C0EA16BDFF5D6344400A0198BC357D52C00D4ED733606344404F181433307D52C093F52E875B63444019CF5901317D52C08BEB18535963444013ECDA8A367D52C0EA16BDFF5D634440
